Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.031299,-7.258E-09,0.09321,0,0,0,20.049,0.34017,-2.2487E-08,0.040982,0.42457,-5.8551E-08,0.49879,0,0,0,0,0,0,package://my_arm/meshes/base_link.STL,0,0,0,1,0,0,0,0,0,0,package://my_arm/meshes/base_link.STL,,Part1-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_one,7.5293E-10,3.1393E-09,0.086767,0,0,0,13.809,0.26104,-2.1453E-07,6.449E-09,0.28886,-1.9471E-09,0.10042,0,0,0,0,0,0,package://my_arm/meshes/link_one.STL,0,0,0,1,0,0,0,0,0,0,package://my_arm/meshes/link_one.STL,,Part2-1,Coordinate System2,Axis1,joint_one,revolute,0,0,0.28,0,0,0,base_link,0,0,1,200,0.3,-2.356,2.356,,,,,,,,
link_two,-1.9505E-09,-1.7799E-07,0.21637,0,0,0,21.868,0.76838,3.3983E-07,-1.7028E-06,0.70685,1.8869E-06,0.16905,0,0,0,0,0,0,package://my_arm/meshes/link_two.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm/meshes/link_two.STL,,Part3-1,Coordinate System5,Axis3,joint_two,revolute,0,0,0.216,0,0,0,link_one,0,1,0,200,0.3,-1.57,1.57,,,,,,,,
link_three,0.13489,3.8037E-07,0.12025,0,0,0,11.685,0.072059,4.5324E-07,-0.04344,0.34963,-8.1945E-08,0.31747,0,0,0,0,0,0,package://my_arm/meshes/link_three.STL,0,0,0,1,0,0,0,0,0,0,package://my_arm/meshes/link_three.STL,,Part4-1,Coordinate System3,Axis2,joint_three,revolute,0,0,0.5,0,0,0,link_two,0,-1,0,200,0.3,-0.785,2.35,,,,,,,,
link_four,0.02219,-6.7004E-09,3.6288E-08,0,0,0,1.0983,0.0020045,5.0055E-10,-5.3736E-10,0.0059209,1.6455E-09,0.0054254,0,0,0,0,0,0,package://my_arm/meshes/link_four.STL,1,1,1,1,0,0,0,0,0,0,package://my_arm/meshes/link_four.STL,,Part5-1,Coordinate System4,Axis4,joint_four,revolute,0.42771,0,0.14865,0,0,0,link_three,0,-1,0,200,0.3,0,2.35,,,,,,,,
